id;date;type_connexion;entite;message
1;2021-02-08;Small;Metrics synthesize calculate;Chicken Licensed solution
2;2021-02-07;Synchronised B2B;Awesome Wooden Car orange transition;Monaco
3;2021-02-07;Borders motivating Customer;Delaware Haiti;Automated regional Chief
4;2021-02-07;reinvent Consultant;backing up digital Movies;parsing
5;2021-02-07;overriding;deposit Maryland;lime Table
6;2021-02-07;Designer Consultant;pricing structure Credit Card Account deposit;interface
7;2021-02-08;aggregate Belgium;e-tailers;tan Data Planner
8;2021-02-08;bus River Brand;Home Loan Account Gloves end-to-end;indexing
9;2021-02-08;impactful;calculate;Analyst Manor
10;2021-02-08;indigo Borders;application Phased;parsing transmitter New Leu
